Calories,Water,Carbohydrate,Protein,Fat,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,Potassium,Sodium,Vitamin A,Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B6,Folate,Vitamin C,Vitamin E,Vitamin K,Choline
47.0,89.28,9.17,0.28,0.97,118.0,0.037,0.2,11.0,0.282,56.0,2.2,0.13,27.0,39.0,63.0,0.027,0.142,0.39,0.146,0.039,2.0,0.0,0.47,0.2,2.1
61.0,83.07,14.66,1.14,0.52,34.0,0.13,0.31,17.0,0.098,34.0,0.2,0.14,312.0,3.0,4.0,0.027,0.025,0.341,0.183,0.063,25.0,92.7,1.46,40.3,7.8
371.0,9.9,74.67,13.04,1.51,21.0,0.289,1.3,53.0,0.917,189.0,63.2,1.41,223.0,6.0,0.0,0.09,0.06,1.7,0.431,0.142,18.0,0.0,0.11,0.1,0.0
371.0,9.9,74.67,13.04,1.51,21.0,0.289,1.3,53.0,0.917,189.0,63.2,1.41,223.0,6.0,0.0,0.09,0.06,1.7,0.431,0.142,18.0,0.0,0.11,0.1,0.0
387.0,3.32,77.78,12.94,4.54,7.0,0.262,3.19,144.0,1.113,358.0,0.0,3.08,329.0,8.0,10.0,0.104,0.083,2.308,0.51,0.157,31.0,0.0,0.29,1.2,21.2
380.0,1.34,98.09,0.12,0.0,83.0,0.047,0.71,9.0,0.064,4.0,1.2,0.03,133.0,28.0,0.0,0.0,0.0,0.11,0.132,0.041,1.0,0.0,0.0,0.0,2.3
584.0,4.73,20.0,20.78,51.46,78.0,1.8,5.25,325.0,1.95,660.0,53.0,5.0,645.0,9.0,3.0,1.48,0.355,8.335,1.13,1.345,227.0,1.4,35.17,0.0,55.1
553.0,5.2,30.19,18.22,43.85,37.0,2.195,6.68,292.0,1.655,593.0,19.9,5.78,660.0,12.0,0.0,0.423,0.058,1.062,0.864,0.417,25.0,0.5,0.9,34.1,0.0
18.0,94.52,3.89,0.88,0.2,10.0,0.059,0.27,11.0,0.114,24.0,0.0,0.17,237.0,5.0,42.0,0.037,0.019,0.594,0.089,0.08,15.0,13.7,0.54,7.9,6.7
22.0,92.45,3.26,3.09,0.34,3.0,0.318,0.5,9.0,0.047,86.0,9.3,0.52,318.0,5.0,0.0,0.081,0.402,3.607,1.497,0.104,17.0,2.1,0.01,0.0,17.3
654.0,4.07,13.71,15.23,65.21,98.0,1.586,2.91,158.0,3.414,346.0,4.9,3.09,441.0,2.0,1.0,0.341,0.15,1.125,0.57,0.537,98.0,1.3,0.7,2.7,39.2
