id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1303504,167765,1178,0.0,0,68.0,,,,,
1303505,167765,1253,0.0,0,68.0,,,,,
1303506,167765,1226,0.024,1,,,,,,
1303507,167765,1283,2.0,0,,,,,,
1303508,167765,1212,0.019,1,,,,,,
1303509,167765,1213,0.018000000000000002,1,,,,,,
1303510,167765,1214,0.062,1,,,,,,
1303511,167765,1216,0.002,1,,,,,,
1303512,167765,1219,0.016,1,,,,,,
1303513,167765,1220,0.059,1,,,,,,
1303514,167765,1221,0.006,1,,,,,,
1303515,167765,1223,0.039,1,,,,,,
1303516,167765,1227,0.016,1,,,,,,
1303517,167765,1246,0.0,0,68.0,,,,,
1303518,167765,1242,0.0,0,68.0,,,,,
1303519,167765,1057,0.0,0,68.0,,,,,
1303520,167765,1058,0.0,0,68.0,,,,,
1303521,167765,1114,0.0,0,68.0,,,,,
1320111,167959,1186,0.0,0,68.0,,,,,
1320112,167959,1187,31.0,0,51.0,,,,,
1320113,167959,1114,0.0,0,68.0,,,,,
1320114,167959,1120,0.0,0,22.0,,,,,
1320115,167959,1122,0.0,0,68.0,,,,,
1320116,167959,1105,0.0,0,22.0,,,,,
1320117,167959,1107,89.0,0,22.0,,,,,
1320118,167959,1108,58.0,0,22.0,,,,,
1320119,167959,1185,1.2,0,52.0,,,,,
1320120,167959,1109,0.29,0,67.0,,,,,
1320121,167959,1123,1450.0,0,16.0,,,,,
1320122,167959,1057,0.0,0,68.0,,,,,
1320123,167959,1058,0.0,0,68.0,,,,,
1320124,167959,1259,0.0,0,,,,,,
1320125,167959,1260,0.0,0,,,,,,
1320126,167959,1262,0.0,1,1.0,,,,,
1320127,167959,1299,0.0,1,1.0,,,,,
1320128,167959,1313,0.0,1,1.0,,,,,
1320129,167959,1321,0.0,1,1.0,,,,,
1320130,167959,1325,0.0,1,1.0,,,,,
1320131,167959,1271,0.0,1,1.0,,,,,
1320132,167959,1276,0.0,0,,,,,,
1320133,167959,1279,0.0,0,,,,,,
1320134,167959,1180,21.2,0,,,,,,
1320135,167959,1008,387.0,0,49.0,,,,,
1320136,167959,1190,31.0,0,49.0,,,,,
1320137,167959,1198,0.8,1,1.0,,,,,
1320138,167959,1274,0.0,1,1.0,,,,,
1320139,167959,1278,0.0,0,,,,,,
1320140,167959,1280,0.0,0,,,,,,
1320141,167959,1300,0.0,1,1.0,,,,,
1320142,167959,1323,0.0,1,1.0,,,,,
1320143,167959,1333,0.0,1,1.0,,,,,
1320144,167959,1261,0.0,0,,,,,,
1320145,167959,1263,0.0,1,1.0,,,,,
1320146,167959,1264,0.0,1,1.0,,,,,
1320147,167959,1272,0.0,0,,,,,,
1320148,167959,1106,10.0,0,49.0,,,,,
1320149,167959,1110,0.0,0,68.0,,,,,
1320150,167959,1018,0.0,0,,,,,,
1320151,167959,1104,196.0,0,49.0,,,,,
1320152,167959,1005,77.78,0,49.0,,,,,
1320153,167959,1292,0.95,0,49.0,,,,,
1320154,167959,1293,2.318,0,49.0,,,,,
1320155,167959,1277,0.0139999999999999,1,1.0,,,,,
1320156,167959,1265,0.536,1,1.0,,,,,
1320157,167959,1266,0.076,1,1.0,,,,,
1320158,167959,1267,0.016,1,1.0,,,,,
1320159,167959,1268,0.931,1,1.0,,,,,
1320160,167959,1269,2.263,1,1.0,,,,,
1320161,167959,1270,0.054000000000000006,1,1.0,,,,,
1320162,167959,1273,0.008,1,1.0,,,,,
1320163,167959,1062,1618.0,0,49.0,,,,,
1320164,167959,1275,0.005,1,1.0,,,,,
1320165,167959,1258,0.637,0,49.0,,,,,
1320166,167959,1212,0.431,0,,,,,,
1320167,167959,1213,1.473,0,,,,,,
1320168,167959,1214,0.3379999999999999,0,,,,,,
1320169,167959,1216,0.217,0,,,,,,
1320170,167959,1219,0.607,0,,,,,,
1320171,167959,1220,0.598,0,,,,,,
1320172,167959,1221,0.3670000000000001,0,,,,,,
1320173,167959,1223,0.836,0,,,,,,
1320174,167959,1227,0.5710000000000001,0,,,,,,
1320175,167959,1162,0.0,2,,,,,,
1320176,167959,1178,0.0,1,,,,,,
1320177,167959,1253,0.0,1,,,,,,
1320178,167959,1210,0.085,0,,,,,,
1320179,167959,1211,0.452,0,,,,,,
1320180,167959,1215,0.252,0,,,,,,
1320181,167959,1217,0.59,0,,,,,,
1320182,167959,1218,0.488,0,,,,,,
1320183,167959,1222,0.9,0,,,,,,
1320184,167959,1224,2.255,0,,,,,,
